Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1961","1961","ha","34694000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1961","1961","kg/ha","1541.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1961","1961","t","53494496","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1962","1962","ha","35695008","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1962","1962","kg/ha","1395.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1962","1962","t","49825552","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1963","1963","ha","35809008","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1963","1963","kg/ha","1549.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1963","1963","t","55497008","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1964","1964","ha","36462000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1964","1964","kg/ha","1617.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1964","1964","t","58962000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1965","1965","ha","35470000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1965","1965","kg/ha","1293.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1965","1965","t","45883504","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1966","1966","ha","35251008","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","1966","1966","kg/ha","1295.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1966","1966","t","45657008","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1967","1967","ha","36437408","A","Official value",""
